Export and import (foreign trade): Germany, years;;;;;
Classification of goods;;;;;
Foreign trade;;;;;
Germany;;;;;
GP2009: Foreign trade;;Export: weight;Export: weight;Export: value;Export: value
;;t;Millio t;thousand EUR;Billion EUR
2012;;;55,94;;7,41
GP09-05;Coal;1410079,9;1,4100799;135497;0,14
GP09-06;Crude oil and natural gas ;14943759,9;14,9437599;5747429;5,75
GP09-07;Ores;322558,5;0,3225585;163548;0,16
GP09-08;Quarrying, other mining;39267620,5;39,2676205;1360250;1,36
;;;;;
2013;;;53,22;;7,45
GP09-05;Coal;1169343,1;1,1693431;122930;0,12
GP09-06;Crude oil and natural gas ;15316430,1;15,3164301;5889055;5,89
GP09-07;Ores;320088;0,320088;133178;0,13
GP09-08;Quarrying, other mining;36415165,6;36,4151656;1308484;1,31
;;;;;
2014;;;56,01;;6,98
GP09-05;Coal;1246586,1;1,2465861;134873;0,13
GP09-06;Crude oil and natural gas ;16843158,8;16,8431588;5416130;5,42
GP09-07;Ores;365619,3;0,3656193;134878;0,13
GP09-08;Quarrying, other mining;37556024,3;37,5560243;1294706;1,29
;;;;;
2015;;;65,77;;10,01
GP09-05;Coal;1175413,6;1,1754136;125185;0,13
GP09-06;Crude oil and natural gas ;28459922,1;28,4599221;8422096;8,42
GP09-07;Ores;291752,5;0,2917525;133681;0,13
GP09-08;Quarrying, other mining;35847745,1;35,8477451;1330112;1,33
;;;;;
2016;;;59,56;;6,57
GP09-05;Coal;1174235,2;1,1742352;116759;0,12
GP09-06;Crude oil and natural gas ;22283923,8;22,2839238;4986104;4,99
GP09-07;Ores;220466,8;0,2204668;122122;0,12
GP09-08;Quarrying, other mining;35882310,3;35,8823103;1341853;1,34
__________;;;;;
(C)opyright Statistisches Bundesamt (Destatis), 2017;;;;;
Dated: 26.05.2017 / 16:02:29;;;;;
