Production volumes of the federal states;"hard coal
 in t";"Lignite
in t";"Oil
in t";"Gas
1 000 m3";"Potash Salt
in t";"Potash and potash salt products
in t";"Special Clay 
in t"
Federal state;Usable extracted output;Usable extracted output;Extraction;Extraction;Usable extracted output;Usable extracted output;Usable extracted output
Baden-Wuerttemberg;;;582;;;2859604;663338
Bavaria;;;39869;10909;;;1507377
Berlin;;;;;;;
Bremen;;32501421;9422;;;;13028
Hamburg;;;;;;;
Hesse;;;13195;;;;
Lower Saxony;;;;;2625842;;761290
North Rhine-Westphalia;;;3618;;;;32864
Rhineland-Palatinate;;1474459;817898;8831204;365813;3444383;54549
Saarland;6222786;95214452;;;;3254042;360984
Schleswig-Holstein;;;202344;;;;2635709
Brandenburg;;;;;;;0
Mecklenburg-Western-Pomerania;;39927204;;;;;170021
Saxony;;9033874;;399501;1948182;3885036;122686
Saxony-Anhalt;;;1325715;61150;;;0
Thuringia;;;;20208;810288;232050;77873
Total; 6.222.786   ; 178.151.410   ; 2.412.643   ; 9.322.972   ; 5.750.125   ; 13.675.115   ;6399719
