Rohstoffgewinnung in Deutschland für 2017 (Menge);;
;;
Rohstoff ;Menge (2017);Wert (2017)
Steinkohle* ;3,7 Mio. t;337
Braunkohle ;171,3 Mio. t;2259
Erdöl ;2,2 Mio. t;778
Erdgas** ;7,9 Mio. m³ ;1425
Kalisalz ;35,97 Mio. t;k. A.
Kali- und Kalisalzprodukte ;6,7 Mio. t;1726
Spezialton ;6,0 Mio. t;141
Steinsalz und Industriesole ;14,6 Mio. t NaCl Inhalt;346
Kaolin ;1,1 Mio. t;84
Quarzkies und -sand ;10,3 Mio. t;219
Kies und Sand ;257,0 Mio. t;1587
Gebrochene Natursteine ;220,0 Mio. t;1529
Naturwerksteine ;0,5 Mio. t;39
Kalk-/Mergel-/Dolomitstein ;56,2 Mio. t;822
