Rohstoffgewinnung in Deutschland für 2017 - 2019 (Menge und Wert);;;;;;
;2017;;2018;;2019;
Rohstoff ;Menge;Wert;Menge;Wert;Menge;Wert
Steinkohle* ;3,7 Mio. t;337;2,6 Mio. t;247;;
Braunkohle ;171,3 Mio. t;2259;166,3 Mio. t;2218;;
Erdöl ;2,2 Mio. t;778;2,1 Mio. t;783;;
Erdgas** ;7,9 Mio. m³ ;1425;6,9 Mio. m³ ;1402;;
Kalisalz ;35,97 Mio. t;k. A.;34,5 Mio. t;k.A.;;
Kali- und Kalisalzprodukte ;6,7 Mio. t;1726;6233;1746;;
Spezialton ;6,0 Mio. t;141;3,1 Mio. t;71;;
Steinsalz und Industriesole ;14,6 Mio. t NaCl Inhalt;346;15,3 Mio. t;381;;
Kaolin ;1,1 Mio. t;84;1,0 Mio. t;73;;
Quarzkies und -sand ;10,3 Mio. t;219;10,7 Mio. t;221;;
Kies und Sand ;257,0 Mio. t;1587;259,0 Mio. t;1733;;
Gebrochene Natursteine ;220,0 Mio. t;1529;226,0 Mio. t;1632;;
Naturwerksteine ;0,5 Mio. t;39;0,4 Mio. t;46;;
Kalk-/Mergel-/Dolomitstein ;56,2 Mio. t;822;54,9 Mio. t;846;;
